id,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price,zip
137129,37.7879,-122.46474,House,Entire home/apt,3.5,4,7,$594.00 ,94118
137546,37.74708,-122.42456,House,Private room,1,1,30,$102.00 ,94110
137672,37.76463,-122.47435,Apartment,Entire home/apt,1.5,1,30,$150.00 ,94122
138592,37.75559,-122.42953,House,Entire home/apt,2,4,6,"$1,200.00 ",94114
138619,37.79835,-122.4042,Apartment,Entire home/apt,1,1,30,$150.00 ,94104
138772,37.75823,-122.43273,House,Private room,1,1,5,$150.00 ,94114
140568,37.73874,-122.41624,Apartment,Private room,1.5,1,2,$90.00 ,94110
142177,37.78471,-122.48125,Condominium,Entire home/apt,1,2,4,$399.00 ,94118
144978,37.79336,-122.42506,Apartment,Private room,,1,30,$56.00 ,94109
147443,37.74599,-122.44532,Apartment,Entire home/apt,1.5,2,30,$230.00 ,94131
148559,37.76787,-122.43172,Apartment,Entire home/apt,1,2,5,$275.00 ,94117
148627,37.80094,-122.4275,Apartment,Entire home/apt,1,1,60,$165.00 ,94123
148769,37.75195,-122.44928,Apartment,Entire home/apt,1,1,30,$115.00 ,94131
150347,37.76202,-122.41876,Apartment,Entire home/apt,1,2,30,$148.00 ,94110
150848,37.762,-122.39391,Townhouse,Private room,1,1,3,$75.00 ,94158
162934,37.77761,-122.50378,Apartment,Entire home/apt,1,1,1,$149.00 ,94122
164207,37.74159,-122.46578,House,Private room,1,1,5,$69.00 ,94116
166199,37.76194,-122.43239,Guesthouse,Entire home/apt,1,1,30,$220.00 ,94114
166771,37.76827,-122.44678,Apartment,Entire home/apt,1,1,30,$185.00 ,94117
175090,37.79018,-122.40475,Apartment,Entire home/apt,1,0,30,$110.00 ,94104
175102,37.79076,-122.40403,Apartment,Entire home/apt,1,0,30,$135.00 ,94104
176274,37.73143,-122.42325,House,Private room,1,1,30,$37.00 ,94134
177137,37.79675,-122.40781,Apartment,Entire home/apt,1,2,30,$135.00 ,94108
183859,37.73626,-122.43677,Apartment,Entire home/apt,1,2,3,$220.00 ,94131
187730,37.75757,-122.41939,Apartment,Private room,2,1,29,$75.00 ,94110
189068,37.73856,-122.41687,Apartment,Private room,1.5,1,2,$90.00 ,94110
189894,37.80318,-122.42977,Apartment,Entire home/apt,1,1,5,$150.00 ,94123
191632,37.77311,-122.44979,Guest suite,Entire home/apt,1,1,2,$138.00 ,94117
